Resume_ID,Skills,Job_Role,Score
R001,Python SQL Machine Learning Data Analysis Pandas,Data Scientist,92
R002,Java Spring Boot REST APIs MySQL,Software Engineer,85
R003,Python TensorFlow Deep Learning NLP,AI Engineer,95
R004,Excel Power BI SQL Tableau,Data Analyst,88
R005,HTML CSS JavaScript React,Frontend Developer,82
R006,Python SQL Excel Power BI,Data Analyst,90
R007,C++ Java DSA OOP,Software Engineer,80
R008,Python NLP Scikit-learn Pandas,AI Engineer,89
R009,SQL Tableau Excel Statistics,Data Analyst,84
R010,Python Machine Learning SQL Power BI,Data Scientist,93
